id,lon,lat,exist
462,110.4373994,-7.01101106,TRUE
463,110.4374072,-6.988900412,TRUE
464,110.4378535,-6.965025855,TRUE
465,110.4378833,-7.003449213,TRUE
466,110.4379629,-6.960851104,TRUE
467,110.4379985,-6.974810904,TRUE
468,110.4381997,-7.004622065,TRUE
469,110.4383275,-6.977446403,TRUE
470,110.4383661,-7.085081252,TRUE
471,110.4383788,-6.992631623,TRUE
472,110.4385039,-6.989032185,TRUE
473,110.4385117,-7.010131876,TRUE
474,110.4385375,-6.982717722,TRUE
475,110.4385649,-6.978233628,TRUE
476,110.4386025,-6.972045764,TRUE
477,110.4387827,-7.007798212,TRUE
478,110.4388537,-6.958399418,TRUE
479,110.4389074,-6.957147016,TRUE
480,110.4389375,-6.975751368,TRUE
481,110.4391657,-6.981518192,TRUE
482,110.4393009,-7.003744024,TRUE
483,110.4393889,-7.013501851,TRUE
484,110.4395677,-6.9728297,TRUE
485,110.4395985,-6.968941879,TRUE
486,110.4399245,-6.958244128,TRUE
487,110.4399267,-6.978440122,TRUE
488,110.4399341,-6.983897152,TRUE
489,110.439938,-7.043437893,TRUE
490,110.4400036,-7.01216267,TRUE
491,110.4400182,-6.967376795,TRUE
492,110.4400853,-6.976796451,TRUE
493,110.4402631,-6.959027319,TRUE
494,110.44133,-6.962185836,TRUE
495,110.4416145,-6.964508451,TRUE
496,110.4417668,-7.013943582,TRUE
497,110.441817,-7.005505729,TRUE
498,110.441845,-6.995447749,TRUE
499,110.4418782,-6.962343041,TRUE
500,110.4419949,-7.061247277,TRUE
501,110.4421964,-6.99644651,TRUE
502,110.4424034,-6.958171941,TRUE
503,110.4425027,-6.998370155,TRUE
504,110.4426449,-7.014386242,TRUE
505,110.4427888,-6.965188255,TRUE
506,110.4428412,-7.007656481,TRUE
507,110.443169,-6.997218492,TRUE
508,110.4434419,-7.016548459,TRUE
509,110.443616,-7.055093732,TRUE
510,110.4441269,-6.994599463,TRUE
511,110.4442187,-7.012052826,TRUE
512,110.4443578,-6.957939334,TRUE
